"id","book_category_name","book_category_num"
1,가정 살림,"001001001"
2,건강 취미,"001001011"
3,경제 경영,"001001025"
4,국어 외국어 사전,"001001004"
5,대학교재,"001001014"
6,만화/라이트노벨,"001001008"
7,사회 정치,"001001022"
8,소설/시/희곡,"001001046"
9,수험서 자격증,"001001015"
10,어린이,"001001016"
11,에세이,"001001047"
12,여행,"001001009"
13,역사,"001001010"
14,예술,"001001007"
15,유아,"001001027"
16,인문,"001001019"
17,인물,"001001020"
18,자기계발,"001001026"
19,자연과학,"001001002"
20,잡지,"001001024"
21,전집,"001001023"
22,종교,"001001021"
23,청소년,"001001005"
24,IT 모바일,"001001003"
25,초등참고서,"001001044"
26,중고등참고서,"001001013"
27, None,"000000000"
